image_id,x_1,y_1,width,height
000508.jpg,195,77,221,306
000516.jpg,105,84,216,299
000519.jpg,375,444,785,1087
000528.jpg,56,80,174,241
000531.jpg,132,53,96,133
000532.jpg,174,65,109,151
000533.jpg,75,16,140,194
000539.jpg,96,54,166,230
000540.jpg,58,78,218,302
000541.jpg,93,76,192,266
000544.jpg,438,99,299,414
000548.jpg,256,63,143,198
000549.jpg,42,87,341,472
000550.jpg,29,13,416,576
000551.jpg,74,65,130,180
000554.jpg,1,37,205,284
000561.jpg,87,90,195,270
000565.jpg,685,155,315,436
000566.jpg,124,90,151,209
000567.jpg,367,91,213,295
000568.jpg,39,65,161,223
000570.jpg,51,41,231,320
000576.jpg,86,32,140,194
000579.jpg,1,50,122,169
000585.jpg,48,88,294,407
000588.jpg,159,52,125,173
000589.jpg,98,98,169,234
000595.jpg,234,64,187,259
000599.jpg,247,103,320,443
000601.jpg,106,33,101,140
000605.jpg,44,105,239,331
000610.jpg,187,138,138,191
000613.jpg,33,30,81,112
000618.jpg,360,74,289,400
000631.jpg,112,44,109,151
000632.jpg,402,319,317,439
000633.jpg,84,71,179,248
000634.jpg,442,77,151,209
000638.jpg,88,52,135,187
000640.jpg,111,96,172,238
000641.jpg,65,61,159,220
000642.jpg,59,76,99,137
000643.jpg,173,92,148,205
000645.jpg,139,64,148,205
000647.jpg,104,99,190,263
000648.jpg,409,448,120,166
000650.jpg,62,98,151,209
000656.jpg,146,94,260,360
000665.jpg,255,181,351,486
000668.jpg,127,104,156,216
000678.jpg,88,80,107,148
000680.jpg,91,68,127,176
000691.jpg,461,99,242,335
000692.jpg,546,98,369,511
000693.jpg,100,73,179,248
000696.jpg,181,70,94,130
000699.jpg,99,83,289,400
000701.jpg,108,113,156,216
000702.jpg,137,187,286,396
000707.jpg,66,37,122,169
000711.jpg,110,40,75,104
000715.jpg,722,507,1149,1591
000716.jpg,134,104,83,115
000717.jpg,73,46,948,1422
000719.jpg,158,87,130,180
000723.jpg,345,138,395,547
000736.jpg,81,58,120,166
000737.jpg,995,138,367,508
000738.jpg,131,101,218,302
000740.jpg,276,55,83,115
000741.jpg,138,48,101,140
000742.jpg,96,42,205,284
000743.jpg,130,64,130,180
000745.jpg,78,55,187,259
000746.jpg,710,80,117,162
000748.jpg,231,7,260,360
000754.jpg,167,93,99,137
000759.jpg,154,52,153,212
000761.jpg,106,89,205,284
000762.jpg,91,96,231,320
000763.jpg,90,93,179,248
000764.jpg,172,46,203,281
000765.jpg,283,83,140,194
000766.jpg,79,34,96,133
000767.jpg,104,84,200,277
000769.jpg,179,142,190,263
000774.jpg,237,86,192,266
000776.jpg,283,84,452,596
000783.jpg,123,59,125,173
000784.jpg,155,42,107,148
000786.jpg,104,37,99,137
000787.jpg,36,74,195,270
000795.jpg,189,70,213,291
000796.jpg,134,83,213,295
000797.jpg,181,38,153,212
000800.jpg,98,96,198,274
000801.jpg,73,64,270,374
000803.jpg,75,66,166,230
000804.jpg,65,42,88,122
000806.jpg,35,14,112,155
000808.jpg,109,49,213,285
000809.jpg,153,151,588,814
000811.jpg,45,67,192,266
000814.jpg,493,1188,1188,1645
000822.jpg,616,58,146,202
000823.jpg,113,50,159,220
000827.jpg,29,9,52,72
000828.jpg,172,45,218,302
000831.jpg,155,115,166,230
000832.jpg,1,106,244,281
000835.jpg,71,104,273,378
000837.jpg,78,59,86,119
000839.jpg,257,51,133,184
000840.jpg,144,51,101,140
000849.jpg,333,364,562,778
000856.jpg,123,107,174,241
000857.jpg,81,88,255,353
000858.jpg,91,92,130,180
000861.jpg,45,53,172,238
000863.jpg,100,42,57,79
000864.jpg,123,39,78,108
000865.jpg,489,234,858,1188
000866.jpg,138,74,107,148
000867.jpg,123,48,143,198
000868.jpg,188,127,255,353
000869.jpg,208,121,130,180
000870.jpg,178,45,143,198
000871.jpg,264,30,185,256
000872.jpg,84,95,247,342
000874.jpg,169,116,107,148
000876.jpg,136,103,177,245
000877.jpg,311,200,317,439
000880.jpg,102,65,130,180
000883.jpg,135,126,135,187
000891.jpg,37,47,153,212
000893.jpg,155,125,166,230
000894.jpg,86,85,185,256
000895.jpg,90,167,148,205
000896.jpg,299,240,512,709
000897.jpg,27,72,229,317
000899.jpg,124,84,237,328
000900.jpg,528,154,276,382
000901.jpg,115,124,333,461
000909.jpg,115,159,205,284
000910.jpg,190,37,96,133
000912.jpg,26,54,148,205
000914.jpg,151,40,164,227
000918.jpg,120,74,122,169
000919.jpg,111,109,169,234
000920.jpg,56,42,135,187
000921.jpg,106,61,120,166
000922.jpg,422,98,325,450
000924.jpg,130,85,192,266
000925.jpg,80,41,91,126
000927.jpg,160,79,182,252
000929.jpg,121,99,187,259
000937.jpg,83,56,99,137
000942.jpg,128,202,452,626
000943.jpg,145,32,81,112
000945.jpg,344,61,146,202
000948.jpg,46,43,88,122
000952.jpg,95,79,174,241
000955.jpg,53,49,104,144
000956.jpg,149,49,78,108
000961.jpg,380,116,146,202
000963.jpg,135,113,140,194
000966.jpg,89,96,205,284
000967.jpg,59,39,109,151
000968.jpg,92,112,140,194
000970.jpg,92,57,127,176
000976.jpg,188,60,112,155
000980.jpg,74,94,247,342
000984.jpg,101,99,174,241
000986.jpg,508,254,239,331
000988.jpg,177,49,55,76
000989.jpg,60,49,291,403
000991.jpg,208,122,299,414
000995.jpg,128,30,109,151
000996.jpg,140,50,81,112
000997.jpg,124,63,101,140
000998.jpg,164,58,174,241
001000.jpg,88,118,101,140
001001.jpg,94,51,70,97
001002.jpg,1,108,143,198
001003.jpg,194,85,91,126
001005.jpg,579,5,377,522
001007.jpg,72,45,91,126
001009.jpg,178,119,229,317
001010.jpg,136,62,133,184
001011.jpg,489,417,855,1184
001012.jpg,605,128,153,212
001013.jpg,129,128,221,306
001014.jpg,59,48,75,104
001015.jpg,81,78,169,234
001020.jpg,90,106,291,403
001023.jpg,259,84,112,155
001024.jpg,81,44,174,241
001025.jpg,281,313,333,461
001031.jpg,146,69,101,140
001039.jpg,81,69,114,158
001058.jpg,65,34,148,205
001060.jpg,187,37,247,323
001063.jpg,242,87,234,324
001064.jpg,580,87,354,490
001067.jpg,30,18,156,216
001071.jpg,194,32,112,155
001073.jpg,331,21,205,284
001075.jpg,571,70,260,360
001076.jpg,140,105,172,238
001078.jpg,73,86,177,245
001080.jpg,64,88,182,252
001083.jpg,119,108,231,320
001086.jpg,1054,540,819,1134
001090.jpg,218,42,86,119
001103.jpg,141,95,94,130
001116.jpg,361,87,294,407
001118.jpg,119,94,289,377
001119.jpg,77,42,83,115
001122.jpg,28,40,112,155
001124.jpg,227,57,198,274
001128.jpg,118,106,153,212
001131.jpg,95,144,333,461
001132.jpg,68,64,143,198
001138.jpg,109,121,278,385
001142.jpg,109,103,187,259
001145.jpg,87,71,179,248
001146.jpg,157,46,143,198
001148.jpg,744,575,1118,1342
001149.jpg,64,35,135,187
001150.jpg,59,55,117,162
001153.jpg,209,37,65,90
001157.jpg,109,51,109,151
001158.jpg,27,56,86,119
001176.jpg,564,274,296,410
001179.jpg,81,83,135,187
001180.jpg,1,103,244,338
001181.jpg,463,81,252,349
001183.jpg,150,101,60,83
001186.jpg,119,76,172,238
001191.jpg,106,61,101,140
001198.jpg,62,45,99,137
001200.jpg,186,88,169,234
001203.jpg,117,69,143,198
001211.jpg,62,88,190,263
001212.jpg,95,112,127,176
001214.jpg,99,147,213,295
001215.jpg,23,70,172,238
001226.jpg,29,49,164,227
001232.jpg,112,66,125,173
001234.jpg,117,120,273,378
001235.jpg,111,118,169,234
001236.jpg,109,115,234,324
001238.jpg,116,51,109,151
001239.jpg,59,75,187,259
001244.jpg,88,38,143,198
001249.jpg,72,76,187,259
001250.jpg,116,55,179,248
001251.jpg,481,138,252,349
001254.jpg,193,45,68,94
001267.jpg,58,304,845,1161
001269.jpg,290,19,247,342
001271.jpg,92,38,101,140
001274.jpg,122,53,185,256
001277.jpg,50,70,133,184
001278.jpg,96,100,151,209
001282.jpg,21,45,120,166
001284.jpg,512,514,907,1256
001285.jpg,187,37,221,306
001289.jpg,93,79,198,274
001293.jpg,166,75,86,119
001294.jpg,430,101,218,302
001296.jpg,69,110,146,202
001297.jpg,108,51,114,158
001301.jpg,109,85,148,205
001304.jpg,88,28,83,115
001311.jpg,120,107,174,241
001315.jpg,81,96,156,216
001317.jpg,245,73,286,396
001318.jpg,89,83,234,324
001319.jpg,186,66,213,295
001320.jpg,17,24,195,270
001323.jpg,74,33,112,155
001326.jpg,370,73,156,216
001327.jpg,86,104,198,274
001333.jpg,260,83,252,349
001334.jpg,71,88,122,169
001337.jpg,64,99,294,398
001341.jpg,123,25,107,148
001346.jpg,528,206,270,374
001347.jpg,80,136,174,241
001348.jpg,170,79,169,234
001353.jpg,249,78,172,238
001360.jpg,102,77,174,241
001361.jpg,77,86,138,191
001362.jpg,153,48,138,191
001365.jpg,306,107,320,443
001366.jpg,52,32,148,205
001367.jpg,51,125,268,371
001373.jpg,98,84,138,191
001375.jpg,102,69,151,209
001376.jpg,191,59,117,162
001377.jpg,42,50,203,281
001378.jpg,260,59,192,266
001387.jpg,434,551,660,914
001390.jpg,24,25,62,86
001392.jpg,127,67,78,108
001402.jpg,101,87,221,306
001404.jpg,452,103,133,184
001407.jpg,132,63,179,248
001409.jpg,268,295,369,511
001411.jpg,203,144,320,443
001412.jpg,48,118,177,245
001413.jpg,220,83,216,299
001416.jpg,106,109,179,248
001419.jpg,160,83,156,216
001421.jpg,108,16,75,104
001422.jpg,101,100,208,288
001424.jpg,71,28,135,187
001425.jpg,118,88,156,216
001427.jpg,91,91,179,248
001429.jpg,62,132,190,263
001433.jpg,128,26,101,140
001434.jpg,295,152,325,450
001437.jpg,109,53,231,320
001438.jpg,151,43,200,277
001440.jpg,149,39,127,176
001447.jpg,132,25,213,295
001448.jpg,45,111,291,386
001449.jpg,484,202,281,389
001452.jpg,62,40,143,198
001453.jpg,100,118,159,220
001454.jpg,102,75,156,216
001455.jpg,111,107,133,184
001460.jpg,120,72,130,180
001465.jpg,106,51,55,76
001472.jpg,173,117,250,346
001473.jpg,173,14,112,155
001475.jpg,193,54,237,328
001478.jpg,1007,453,452,626
001481.jpg,46,92,190,263
001486.jpg,780,76,333,461
001487.jpg,160,134,520,720
001488.jpg,354,44,263,364
001489.jpg,93,74,140,194
001492.jpg,180,122,130,180
001493.jpg,232,102,156,216
001494.jpg,340,144,242,335
001495.jpg,220,77,263,364
001496.jpg,47,56,174,241
001497.jpg,147,25,169,234
001498.jpg,30,43,86,119
001499.jpg,120,61,86,119
001502.jpg,566,125,348,482
001503.jpg,310,160,338,468
001504.jpg,69,47,130,180
001508.jpg,70,63,172,238
001509.jpg,116,57,99,137
001510.jpg,180,89,151,209
001512.jpg,176,44,109,151
001513.jpg,60,66,244,338
001518.jpg,85,103,174,241
001520.jpg,93,29,47,65
001521.jpg,86,107,130,180
001535.jpg,61,48,112,155
001542.jpg,506,334,900,1246
001544.jpg,62,27,62,86
001546.jpg,59,51,211,292
001549.jpg,75,51,234,324
001551.jpg,259,178,374,518
001552.jpg,102,91,169,234
001553.jpg,258,129,174,241
001562.jpg,54,48,112,155
001564.jpg,177,34,99,137
001566.jpg,40,81,57,79
001567.jpg,112,19,143,198
001568.jpg,417,430,783,1084
001569.jpg,243,53,224,310
001572.jpg,114,52,156,216
001574.jpg,191,135,341,472
001575.jpg,110,47,138,191
001576.jpg,210,94,156,216
001585.jpg,120,40,283,392
001587.jpg,75,57,229,317
001591.jpg,1,59,172,238
001592.jpg,205,67,234,324
001593.jpg,381,359,413,572
001595.jpg,483,131,146,202
001597.jpg,157,77,291,403
001604.jpg,147,140,330,457
001607.jpg,67,85,140,194
001614.jpg,96,32,104,144
001619.jpg,115,79,205,284
001621.jpg,105,90,140,194
001624.jpg,157,169,166,230
001631.jpg,455,238,445,616
001637.jpg,494,95,380,526
001643.jpg,353,725,21,29
001644.jpg,153,262,250,346
001645.jpg,82,112,239,331
001647.jpg,49,68,185,256
001648.jpg,74,63,169,234
001649.jpg,93,59,81,112
001650.jpg,230,200,198,274
001651.jpg,55,33,122,169
001653.jpg,65,103,133,184
001660.jpg,64,103,205,284
001662.jpg,104,38,91,126
001663.jpg,211,315,627,868
001664.jpg,676,228,567,785
001665.jpg,165,59,138,191
001668.jpg,374,291,512,709
001671.jpg,112,47,224,310
001673.jpg,355,206,569,788
001682.jpg,246,44,143,198
001683.jpg,73,105,164,227
001685.jpg,286,24,187,259
001686.jpg,38,36,99,137
001687.jpg,111,100,211,274
001688.jpg,111,24,206,328
001690.jpg,6,33,143,198
001694.jpg,48,74,159,220
001695.jpg,88,105,159,220
001696.jpg,196,60,161,223
001697.jpg,117,106,195,270
001698.jpg,24,92,229,317
001700.jpg,42,53,55,76
001702.jpg,152,47,91,126
001705.jpg,317,54,169,234
001707.jpg,241,138,192,266
001708.jpg,101,68,107,148
001709.jpg,154,97,177,245
001710.jpg,34,65,229,317
001714.jpg,880,234,489,677
001719.jpg,136,38,114,158
001724.jpg,66,124,187,259
001727.jpg,43,57,86,119
001731.jpg,160,22,70,97
001732.jpg,61,69,213,295
001733.jpg,125,85,127,176
001743.jpg,895,685,728,1008
001745.jpg,55,17,47,65
001747.jpg,146,46,125,173
001748.jpg,399,370,468,648
001751.jpg,75,28,49,68
001753.jpg,67,25,109,151
001758.jpg,53,81,229,317
001760.jpg,169,151,234,324
001764.jpg,225,51,94,130
001768.jpg,118,83,190,263
001770.jpg,8,110,312,432
001771.jpg,106,64,125,173
001772.jpg,136,65,148,205
001776.jpg,54,64,177,245
001778.jpg,470,165,302,418
001781.jpg,85,114,177,245
001787.jpg,75,29,112,155
001789.jpg,113,86,88,122
001793.jpg,245,72,101,140
001795.jpg,100,72,192,266
001797.jpg,72,57,195,270
001798.jpg,261,41,166,230
001801.jpg,46,40,133,184
001802.jpg,6,110,231,320
001807.jpg,86,37,73,101
001810.jpg,97,67,229,317
001811.jpg,339,111,356,493
001813.jpg,31,51,216,299
001817.jpg,157,89,122,169
001820.jpg,90,70,107,148
001824.jpg,28,41,73,101
001825.jpg,61,84,143,198
001826.jpg,80,72,159,220
001828.jpg,137,80,146,202
001829.jpg,180,57,224,310
001833.jpg,46,38,153,212
001834.jpg,165,188,255,353
001836.jpg,96,82,117,162
001838.jpg,73,57,169,234
001840.jpg,64,107,88,122
001847.jpg,73,88,208,288
001851.jpg,510,113,156,216
001854.jpg,37,109,195,270
001856.jpg,257,204,372,515
001858.jpg,37,61,177,245
001860.jpg,113,80,148,205
001861.jpg,153,61,96,133
001862.jpg,140,22,94,130
001863.jpg,177,39,120,166
001864.jpg,121,42,179,248
001865.jpg,405,162,510,706
001871.jpg,238,83,138,191
001872.jpg,95,82,125,173
001874.jpg,103,98,151,209
001877.jpg,119,41,143,198
001881.jpg,303,232,429,594
001883.jpg,76,78,224,310
001884.jpg,84,15,73,101
001886.jpg,78,68,140,194
001887.jpg,124,74,200,277
001892.jpg,207,75,60,83
001894.jpg,184,106,120,166
001897.jpg,75,97,185,256
001898.jpg,49,64,122,169
001899.jpg,220,66,143,198
001902.jpg,63,62,187,259
001912.jpg,26,18,60,83
001913.jpg,93,58,169,230
001915.jpg,348,331,551,763
001920.jpg,168,52,125,173
001923.jpg,462,51,151,209
001925.jpg,53,48,166,223
001929.jpg,118,61,172,238
001931.jpg,306,161,247,342
001933.jpg,131,69,148,205
001937.jpg,358,162,203,281
001941.jpg,401,110,182,252
001942.jpg,91,75,143,198
001945.jpg,412,369,572,792
001947.jpg,108,50,117,162
001950.jpg,119,124,172,238
001951.jpg,154,83,104,144
001952.jpg,114,110,91,126
001953.jpg,45,67,127,176
001954.jpg,212,97,200,277
001958.jpg,353,173,338,468
001960.jpg,372,92,211,292
001964.jpg,81,53,114,158
001966.jpg,339,48,153,212
001969.jpg,416,93,242,335
001970.jpg,127,34,112,155
001972.jpg,150,116,255,353
001979.jpg,95,59,198,274
001983.jpg,101,69,192,266
001987.jpg,106,72,177,245
001989.jpg,567,396,827,1145
001990.jpg,127,60,133,184
001991.jpg,256,64,172,238
001992.jpg,248,54,211,292
001993.jpg,181,111,62,86
001997.jpg,93,67,179,248
002001.jpg,271,86,114,158
002005.jpg,122,90,138,191
002008.jpg,128,95,120,166
002019.jpg,271,160,530,734
002020.jpg,150,92,239,331
002021.jpg,337,217,239,331
002022.jpg,107,122,234,324
002023.jpg,39,21,57,79
002024.jpg,306,202,273,378
002025.jpg,228,34,133,184
002026.jpg,103,63,143,198
002027.jpg,174,108,151,209
002028.jpg,159,65,205,284
002029.jpg,101,88,169,234
002035.jpg,56,72,166,230
002038.jpg,94,95,117,162
002042.jpg,90,59,143,198
002043.jpg,314,76,281,389
002044.jpg,46,24,75,104
002047.jpg,574,84,250,346
002048.jpg,97,80,393,544
002051.jpg,127,116,153,212
002052.jpg,82,82,159,220
002064.jpg,232,153,307,425
002066.jpg,253,142,294,407
002073.jpg,49,77,187,259
002074.jpg,154,63,276,382
002077.jpg,143,53,91,126
002079.jpg,154,54,117,162
002080.jpg,367,231,421,583
002084.jpg,218,80,195,270
002085.jpg,114,174,203,281
002086.jpg,123,132,322,446
002090.jpg,66,69,151,209
002092.jpg,80,56,109,151
002093.jpg,234,108,330,457
002094.jpg,88,62,156,216
002095.jpg,12,41,138,185
002096.jpg,167,212,364,504
002097.jpg,69,54,101,140
002102.jpg,75,110,242,335
002103.jpg,98,44,135,187
002104.jpg,124,106,75,104
002105.jpg,61,49,112,148
002107.jpg,33,75,290,410
002108.jpg,186,184,395,547
002109.jpg,65,88,192,266
002110.jpg,526,35,458,634
002113.jpg,63,13,153,209
002115.jpg,72,78,109,151
002119.jpg,78,66,177,245
002120.jpg,85,77,161,223
002129.jpg,169,54,94,130
002130.jpg,70,95,172,238
002133.jpg,247,73,135,187
002136.jpg,54,71,221,306
002142.jpg,30,120,281,389
002147.jpg,315,58,135,187
002150.jpg,244,91,239,331
002152.jpg,98,61,114,158
002158.jpg,52,40,172,238
002159.jpg,117,71,177,245
002161.jpg,161,60,135,187
002163.jpg,148,100,133,184
002167.jpg,65,158,177,245
002174.jpg,233,100,203,281
002175.jpg,371,50,101,140
002177.jpg,77,109,164,227
002178.jpg,80,66,182,252
002179.jpg,129,55,94,130
002182.jpg,104,51,127,176
002183.jpg,227,125,179,248
002186.jpg,488,123,133,184
002189.jpg,40,15,49,68
002190.jpg,106,81,143,198
002194.jpg,166,106,146,202
002196.jpg,127,36,153,212
002198.jpg,85,82,169,234
002199.jpg,225,90,114,158
002206.jpg,275,40,104,144
002207.jpg,429,86,270,374
002208.jpg,202,68,166,230
002209.jpg,46,89,244,338
002217.jpg,76,29,47,65
002218.jpg,159,56,138,191
002219.jpg,126,82,325,450
002221.jpg,128,28,57,79
002229.jpg,245,105,302,418
002231.jpg,78,79,114,158
002233.jpg,103,47,86,119
002236.jpg,245,171,460,637
002237.jpg,38,72,242,335
002239.jpg,9,28,70,97
002240.jpg,169,127,190,263
002241.jpg,273,67,231,320
002242.jpg,72,54,133,184
002243.jpg,244,74,182,252
002244.jpg,124,100,114,158
002247.jpg,33,97,234,308
002250.jpg,86,77,138,191
002251.jpg,83,94,164,227
002252.jpg,79,93,250,306
002254.jpg,169,143,161,223
002258.jpg,80,49,122,169
002259.jpg,158,39,83,115
002261.jpg,136,153,299,414
002262.jpg,109,106,185,256
002263.jpg,101,44,127,176
002264.jpg,1118,1213,970,1343
002269.jpg,475,73,182,252
002273.jpg,90,49,133,184
002274.jpg,120,118,166,230
002275.jpg,53,32,91,126
002279.jpg,133,62,148,205
002280.jpg,161,38,456,641
002282.jpg,105,77,151,209
002292.jpg,859,215,608,842
002294.jpg,85,51,68,94
002296.jpg,433,27,146,202
002300.jpg,130,87,213,295
002306.jpg,457,103,312,432
002307.jpg,96,93,153,212
002308.jpg,164,66,52,72
002313.jpg,114,49,96,133
002316.jpg,95,43,107,148
002323.jpg,330,35,94,130
002324.jpg,246,50,203,281
002328.jpg,106,73,177,245
002331.jpg,279,179,263,364
002334.jpg,59,214,169,234
002336.jpg,171,138,109,151
002337.jpg,47,39,127,176
002339.jpg,96,39,218,302
002340.jpg,101,94,195,270
002342.jpg,936,403,884,1224
002344.jpg,16,34,88,122
002349.jpg,65,39,130,180
002350.jpg,47,37,96,133
002353.jpg,177,104,156,216
002354.jpg,123,105,172,238
002355.jpg,105,153,489,677
002360.jpg,152,58,81,112
002361.jpg,108,10,268,325
002362.jpg,156,148,260,360
002364.jpg,122,132,177,245
002367.jpg,494,79,242,335
002369.jpg,153,90,99,137
002372.jpg,64,65,166,230
002375.jpg,72,46,192,266
002376.jpg,281,96,204,342
002377.jpg,337,112,304,421
002379.jpg,248,43,127,176
002380.jpg,183,96,130,180
002382.jpg,111,83,166,230
002383.jpg,51,78,182,252
002384.jpg,111,104,221,306
002387.jpg,118,84,177,245
002388.jpg,29,43,112,155
002390.jpg,257,84,104,144
002393.jpg,158,164,182,252
002395.jpg,219,82,195,270
002397.jpg,65,35,101,140
002401.jpg,232,56,203,281
002403.jpg,84,65,161,223
002404.jpg,239,1,485,702
002406.jpg,201,57,117,162
002407.jpg,103,80,120,166
002408.jpg,145,109,213,295
002409.jpg,192,45,96,133
002410.jpg,222,128,187,259
002411.jpg,268,109,148,205
002412.jpg,64,51,91,126
002420.jpg,475,101,247,342
002422.jpg,61,70,125,173
002424.jpg,220,21,174,241
002425.jpg,61,44,112,155
002427.jpg,322,73,166,230
002428.jpg,146,61,107,148
002429.jpg,61,72,270,374
002431.jpg,73,49,133,184
002434.jpg,903,104,140,194
002437.jpg,15,46,78,108
002438.jpg,83,109,174,241
002439.jpg,46,68,143,198
002441.jpg,216,61,200,277
002443.jpg,153,58,120,166
002444.jpg,137,74,179,248
002445.jpg,233,51,164,227
002447.jpg,318,154,369,511
002450.jpg,130,73,117,162
002451.jpg,227,145,135,187
002453.jpg,242,13,166,230
002457.jpg,197,126,83,115
002459.jpg,10,32,125,157
002463.jpg,77,102,203,281
002464.jpg,75,88,164,227
002467.jpg,109,39,75,104
002468.jpg,67,1,296,410
002470.jpg,113,35,138,191
002471.jpg,110,26,86,119
002472.jpg,117,39,109,151
002475.jpg,46,23,255,353
002480.jpg,231,92,130,180
002484.jpg,104,87,242,335
002485.jpg,165,72,291,403
002487.jpg,106,66,68,94
002491.jpg,86,77,143,198
