image_id,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
000361.jpg,70,110,106,111,90,132,75,153,102,153
000362.jpg,69,111,108,112,89,133,73,152,104,151
000364.jpg,68,112,110,112,87,133,67,150,109,151
000365.jpg,69,112,108,111,84,133,70,152,106,152
000368.jpg,69,111,108,112,90,135,68,152,109,151
000369.jpg,69,111,108,112,94,130,71,150,106,153
000377.jpg,70,111,107,111,87,136,73,152,104,153
000382.jpg,67,111,109,113,88,136,65,151,113,151
000384.jpg,67,112,109,112,83,133,69,149,109,152
000387.jpg,66,112,110,113,88,137,68,149,111,150
000391.jpg,67,112,110,112,82,135,67,149,110,151
000394.jpg,69,112,109,111,93,139,64,152,112,151
000396.jpg,69,111,108,112,85,136,67,152,111,151
000398.jpg,70,112,108,110,85,134,74,152,102,153
000399.jpg,69,111,108,111,88,134,73,152,103,152
000412.jpg,70,111,108,111,83,138,71,152,106,152
000415.jpg,69,111,108,111,87,138,74,152,103,152
000420.jpg,67,112,110,112,89,130,68,151,109,149
000422.jpg,68,112,109,112,88,134,70,151,108,151
000423.jpg,69,111,108,111,89,134,77,152,100,152
000431.jpg,68,111,108,112,85,139,71,151,107,152
000432.jpg,69,111,108,111,88,129,72,153,105,151
000435.jpg,68,113,110,111,88,137,65,150,111,151
000436.jpg,68,112,109,112,91,139,69,151,107,150
000442.jpg,68,111,109,113,90,137,73,152,106,150
000446.jpg,67,112,110,112,83,138,66,149,111,151
000455.jpg,67,113,111,112,91,137,67,149,109,150
000458.jpg,69,112,109,111,91,137,65,152,110,151
000462.jpg,69,111,108,112,88,137,67,152,110,152
000463.jpg,69,111,108,111,81,133,73,153,104,151
000464.jpg,69,111,107,111,91,132,75,152,103,152
000466.jpg,69,112,108,111,88,137,73,152,104,152
000467.jpg,68,112,109,112,89,143,67,151,110,151
000470.jpg,69,111,108,112,90,129,74,151,104,152
000472.jpg,67,112,110,112,87,135,69,150,108,150
000475.jpg,69,112,109,111,91,130,68,151,108,151
000476.jpg,68,111,109,112,89,138,70,152,108,150
000480.jpg,70,111,107,111,87,134,75,153,101,153
000488.jpg,68,111,109,112,91,136,75,151,102,151
000489.jpg,67,112,110,113,87,138,67,150,110,150
000493.jpg,67,112,110,112,87,132,69,150,108,151
000494.jpg,70,111,107,111,90,135,71,152,106,152
000495.jpg,68,112,109,112,90,142,67,150,109,152
000496.jpg,67,112,109,112,87,140,67,150,111,151
000497.jpg,68,112,109,112,89,132,68,151,108,151
000499.jpg,71,110,106,110,86,131,74,155,102,153
000502.jpg,69,112,108,111,88,134,73,151,103,152
000503.jpg,69,111,108,111,89,136,74,152,102,152
000504.jpg,67,112,110,112,89,139,65,150,112,150
000505.jpg,67,112,110,112,92,133,70,151,107,150
000506.jpg,67,111,109,113,83,138,68,149,110,152
000508.jpg,67,112,110,112,90,141,65,150,112,150
000516.jpg,69,112,108,111,89,133,73,151,104,153
000519.jpg,67,111,109,113,81,140,68,149,111,152
000528.jpg,68,112,109,112,84,136,69,152,108,151
000531.jpg,69,112,109,110,98,139,70,152,105,151
000532.jpg,70,110,107,112,89,136,72,153,106,152
000533.jpg,70,110,107,112,97,127,73,151,105,154
000539.jpg,69,112,108,111,93,137,73,153,103,151
000540.jpg,68,112,109,112,85,131,68,149,110,152
000541.jpg,69,112,108,111,92,133,72,152,105,151
000544.jpg,69,111,108,111,84,135,71,152,107,152
000548.jpg,69,111,107,111,89,137,72,152,105,152
000549.jpg,70,110,107,111,85,137,75,152,103,154
000550.jpg,69,111,108,112,88,138,75,152,103,151
000551.jpg,67,112,110,113,87,144,66,149,111,151
000554.jpg,69,111,108,112,87,139,70,151,108,152
000561.jpg,69,112,108,111,92,135,65,151,112,152
000565.jpg,68,111,109,112,91,140,68,151,110,150
000566.jpg,68,111,109,112,87,134,71,151,107,152
000567.jpg,68,112,109,112,85,138,70,150,107,152
000568.jpg,67,113,111,112,84,135,64,149,112,150
000570.jpg,70,111,107,111,87,135,75,153,102,153
000576.jpg,71,111,106,111,99,133,73,153,104,154
000579.jpg,68,112,109,112,84,134,71,150,106,152
000585.jpg,69,112,109,111,91,139,71,151,105,152
000588.jpg,68,112,109,112,86,138,66,151,111,150
000589.jpg,67,113,111,112,90,139,66,149,110,150
000595.jpg,69,112,108,111,90,132,68,152,109,152
000599.jpg,69,112,108,111,96,134,67,153,109,150
000601.jpg,69,111,108,111,94,136,74,151,103,152
000605.jpg,68,112,109,112,85,138,67,151,110,151
000610.jpg,69,111,108,112,82,138,69,153,108,151
000613.jpg,68,111,109,112,86,133,71,151,107,151
000618.jpg,68,111,108,112,89,135,69,150,108,153
000631.jpg,67,112,110,112,85,137,66,151,110,150
000632.jpg,68,112,109,112,90,137,71,151,106,150
000633.jpg,68,112,109,112,90,133,66,152,111,150
000634.jpg,68,112,110,112,95,140,65,151,112,150
000638.jpg,70,112,108,111,86,132,70,153,106,151
000640.jpg,70,111,107,111,83,137,72,152,104,153
000641.jpg,68,112,109,112,82,137,68,149,110,152
000642.jpg,67,112,110,112,89,140,69,150,108,151
000643.jpg,67,113,111,112,89,141,63,150,113,149
000645.jpg,67,111,109,113,81,134,69,150,109,151
000647.jpg,69,111,108,111,89,138,72,152,104,152
000648.jpg,69,113,109,110,100,140,71,154,103,149
000650.jpg,67,112,109,112,84,140,67,150,110,150
000656.jpg,68,112,109,112,88,133,72,151,105,151
000665.jpg,68,112,109,112,90,140,71,152,105,151
000668.jpg,68,112,109,111,88,140,70,151,106,151
000678.jpg,68,111,109,112,77,137,70,150,108,152
000680.jpg,70,111,107,111,92,135,76,153,101,152
000691.jpg,69,112,108,111,94,133,73,152,103,152
000692.jpg,70,112,108,110,90,137,73,152,102,153
000693.jpg,71,111,106,110,83,138,72,153,105,154
000696.jpg,68,112,109,111,90,135,68,151,108,151
000699.jpg,68,112,109,112,94,133,72,151,104,151
000701.jpg,69,112,108,111,87,133,70,152,107,152
000702.jpg,68,112,109,112,85,140,70,151,107,150
000707.jpg,67,111,109,113,76,139,66,149,113,152
000711.jpg,69,113,109,110,96,142,71,152,103,151
000715.jpg,69,111,108,112,89,134,75,152,102,151
000716.jpg,67,113,110,112,92,137,71,150,105,149
000717.jpg,70,111,107,111,89,137,74,153,102,153
000719.jpg,67,112,110,112,87,141,67,151,110,149
000723.jpg,69,111,108,112,91,139,71,153,106,151
000736.jpg,68,112,109,112,86,142,70,150,107,151
000737.jpg,67,111,109,113,88,136,70,150,108,151
000738.jpg,68,111,108,112,89,139,72,152,107,151
000740.jpg,68,112,109,112,89,137,66,151,110,150
000741.jpg,69,111,108,111,89,135,74,152,103,152
000742.jpg,70,111,107,111,88,133,74,153,103,152
000743.jpg,69,111,108,111,93,134,70,152,107,152
000745.jpg,69,111,108,111,88,139,71,152,106,152
000746.jpg,71,111,106,110,81,135,72,154,105,153
000748.jpg,70,112,108,111,85,133,74,153,102,152
000754.jpg,67,111,109,113,81,143,70,150,108,151
000759.jpg,68,112,109,111,90,137,65,151,111,151
000761.jpg,67,112,110,112,86,134,69,150,108,151
000762.jpg,69,111,108,112,88,139,72,152,105,152
000763.jpg,67,112,110,112,87,145,65,150,111,150
000764.jpg,68,111,109,113,84,141,70,151,109,151
000765.jpg,68,113,110,111,90,138,73,152,102,150
000766.jpg,70,109,106,112,100,133,76,152,103,154
000767.jpg,68,112,109,112,94,136,70,151,107,151
000769.jpg,70,113,108,109,80,126,71,154,103,151
000774.jpg,69,111,108,112,90,131,72,152,105,151
000776.jpg,69,111,108,112,86,130,71,151,106,152
000783.jpg,70,111,107,111,89,136,72,152,105,153
000784.jpg,69,111,107,111,92,137,70,154,106,150
000786.jpg,69,112,109,111,92,134,73,151,103,152
000787.jpg,68,111,108,112,85,141,68,151,110,152
000795.jpg,68,112,109,112,84,138,71,151,106,150
000796.jpg,68,111,108,112,86,139,70,151,108,152
000797.jpg,69,112,108,111,88,135,71,151,106,152
000800.jpg,69,112,108,111,88,140,70,151,107,152
000801.jpg,69,111,107,112,90,131,71,152,106,152
000803.jpg,69,111,107,111,92,138,73,152,104,152
000804.jpg,67,112,110,112,84,142,66,149,111,151
000806.jpg,69,111,107,111,89,134,73,153,104,151
000808.jpg,72,110,105,110,88,132,73,154,104,154
000809.jpg,70,111,107,111,88,133,73,152,104,153
000811.jpg,70,112,107,110,80,131,73,152,103,153
000814.jpg,67,111,110,113,85,144,68,150,111,150
000822.jpg,69,111,107,111,78,136,69,152,108,152
000823.jpg,68,111,108,112,96,128,67,150,111,152
000827.jpg,71,110,106,110,91,132,73,154,104,154
000828.jpg,70,111,107,111,98,133,72,153,105,153
000831.jpg,67,113,111,112,94,138,62,150,114,149
000832.jpg,69,111,108,111,85,134,75,151,102,152
000835.jpg,69,112,108,111,83,135,71,151,105,153
000837.jpg,68,110,108,113,80,139,72,150,108,153
000839.jpg,69,111,108,111,90,131,70,153,107,152
000840.jpg,70,110,106,111,99,137,74,155,104,152
000849.jpg,68,112,109,112,90,139,67,150,110,151
000856.jpg,68,111,109,112,89,133,72,151,106,151
000857.jpg,69,111,108,111,91,132,68,151,108,153
000858.jpg,69,111,108,111,88,133,73,152,104,152
000861.jpg,71,111,107,110,94,138,72,154,104,152
000863.jpg,69,111,108,111,93,140,71,151,106,153
000864.jpg,67,113,111,111,92,141,65,151,110,148
000865.jpg,67,112,110,112,88,135,67,151,110,150
000866.jpg,69,111,108,111,90,129,74,151,104,152
000867.jpg,69,111,107,112,88,132,73,153,105,151
000868.jpg,71,111,107,110,82,134,74,154,101,153
000869.jpg,68,113,110,111,81,119,68,152,108,149
000870.jpg,67,110,108,114,98,125,75,149,106,153
000871.jpg,70,111,107,111,87,129,75,152,102,152
000872.jpg,67,112,110,112,89,135,67,150,110,151
000874.jpg,66,112,110,113,89,141,68,150,110,149
000876.jpg,68,112,109,112,91,139,69,151,108,151
000877.jpg,68,112,109,112,94,139,70,151,107,150
000880.jpg,69,112,108,111,92,141,70,153,105,150
000883.jpg,68,112,110,112,92,140,65,150,111,150
000891.jpg,69,112,108,111,93,136,74,152,102,152
000893.jpg,66,112,110,113,88,136,66,150,111,150
000894.jpg,69,111,108,111,90,141,70,151,107,152
000895.jpg,66,112,110,113,84,140,67,149,111,151
000896.jpg,68,111,109,112,84,139,70,151,107,151
000897.jpg,69,111,108,111,90,134,73,152,104,152
000899.jpg,68,112,109,112,91,131,69,150,107,152
000900.jpg,67,111,109,113,88,140,68,150,111,151
000901.jpg,69,111,108,111,80,135,75,150,102,154
000909.jpg,69,111,108,112,83,136,76,152,101,152
000910.jpg,67,112,110,112,89,142,68,150,109,150
000912.jpg,71,109,105,112,74,141,72,153,107,155
000914.jpg,69,112,108,111,91,133,71,151,106,152
000918.jpg,69,111,108,112,92,136,74,152,104,151
000919.jpg,66,113,112,113,90,142,64,149,112,148
000920.jpg,69,111,108,112,80,135,75,151,102,152
000921.jpg,68,111,109,112,85,134,73,151,104,152
000922.jpg,70,111,107,111,78,139,73,151,105,153
000924.jpg,68,112,109,111,91,138,68,152,108,151
000925.jpg,68,112,109,111,88,138,73,150,104,152
000927.jpg,68,112,109,112,85,139,66,151,111,151
000929.jpg,68,112,109,112,88,136,72,152,105,151
000937.jpg,68,111,108,112,84,137,68,151,110,152
000942.jpg,69,112,109,111,80,131,71,152,104,151
000943.jpg,67,112,109,112,84,137,67,150,111,151
000945.jpg,69,111,108,112,88,126,72,152,106,152
000948.jpg,67,114,111,111,98,139,66,151,108,148
000952.jpg,68,112,109,112,93,134,71,151,106,151
000955.jpg,69,111,108,112,89,134,71,151,106,152
000956.jpg,67,112,110,112,85,140,66,150,111,150
000961.jpg,67,111,109,113,83,141,65,149,113,152
000963.jpg,69,113,109,110,94,143,65,153,110,150
000966.jpg,67,112,110,112,88,140,68,150,109,151
000967.jpg,68,111,109,112,84,136,71,151,107,151
000968.jpg,69,112,109,111,92,138,67,151,109,151
000970.jpg,70,111,107,111,78,134,68,152,109,153
000976.jpg,69,111,108,111,86,135,74,152,103,152
000980.jpg,72,112,107,109,76,133,73,154,101,153
000984.jpg,68,111,109,112,83,134,68,150,110,152
000986.jpg,67,111,109,113,78,140,69,148,109,153
000988.jpg,69,112,109,111,92,135,72,151,104,152
000989.jpg,69,111,108,111,88,137,72,152,105,152
000991.jpg,69,112,109,111,92,138,69,152,107,151
000995.jpg,70,112,108,110,77,135,74,153,101,152
000996.jpg,69,111,108,111,94,134,67,152,110,152
000997.jpg,68,112,109,112,89,136,70,151,107,151
000998.jpg,70,111,107,111,87,131,75,153,102,152
001000.jpg,67,111,109,113,82,139,70,152,108,150
001001.jpg,69,111,108,112,77,132,70,151,108,153
001002.jpg,69,109,106,113,71,140,71,150,109,155
001003.jpg,70,111,108,111,90,137,73,153,103,152
001005.jpg,69,111,108,112,88,138,74,151,103,153
001007.jpg,67,113,111,112,90,142,64,150,111,149
001009.jpg,68,111,109,113,88,137,70,151,108,151
001010.jpg,69,112,108,111,90,138,68,152,108,151
001011.jpg,69,112,108,111,95,137,68,153,108,151
001012.jpg,69,111,107,111,77,137,73,152,105,153
001013.jpg,68,113,110,111,92,142,68,151,107,150
001014.jpg,68,112,109,111,85,140,71,151,105,151
001015.jpg,70,111,107,111,94,137,72,153,105,152
001020.jpg,68,112,109,112,89,137,69,150,108,152
001023.jpg,68,112,109,111,89,136,67,151,109,151
001024.jpg,69,111,108,111,88,134,73,152,104,152
001025.jpg,67,111,110,113,91,139,63,149,115,151
001031.jpg,67,111,109,113,84,138,68,151,109,151
001039.jpg,68,112,109,111,87,140,69,149,107,152
001058.jpg,69,111,108,112,92,131,69,152,108,152
001060.jpg,69,110,107,112,82,134,69,152,109,153
001063.jpg,71,111,106,110,82,134,71,154,106,153
001064.jpg,69,111,108,111,89,134,74,153,103,151
001067.jpg,70,111,107,111,77,139,71,152,106,153
001071.jpg,69,111,108,112,91,131,75,152,103,151
001073.jpg,68,111,108,112,91,133,73,153,105,151
001075.jpg,69,112,108,111,88,136,71,152,105,152
001076.jpg,69,111,108,112,89,136,68,151,109,152
001078.jpg,70,111,107,111,90,131,74,152,103,153
001080.jpg,69,112,108,111,85,133,73,152,104,152
001083.jpg,68,111,108,112,97,136,69,152,108,151
001086.jpg,68,111,109,112,86,140,67,151,110,151
001090.jpg,72,110,105,110,81,131,75,154,102,155
001103.jpg,68,111,109,112,81,139,70,151,108,151
001116.jpg,69,112,108,111,84,126,70,152,106,152
001118.jpg,70,111,107,111,88,133,75,153,101,153
001119.jpg,68,112,109,111,89,136,69,151,108,152
001122.jpg,70,110,106,111,79,134,73,154,106,153
001124.jpg,69,110,107,112,97,132,73,152,105,152
001128.jpg,68,111,109,112,80,141,68,150,110,152
001131.jpg,69,112,108,111,89,133,71,152,105,151
001132.jpg,70,112,108,111,86,131,74,152,102,152
001138.jpg,70,111,107,111,89,137,73,152,104,153
001142.jpg,69,111,107,112,94,135,73,152,105,152
001145.jpg,68,112,109,111,83,134,70,150,107,153
001146.jpg,69,111,108,111,90,137,75,153,102,152
001148.jpg,67,113,110,112,89,142,65,150,111,150
001149.jpg,68,112,109,112,90,135,71,151,106,151
001150.jpg,70,112,107,110,82,134,70,153,105,152
001153.jpg,69,111,108,112,87,139,71,152,107,152
001157.jpg,69,111,108,112,85,137,76,152,102,152
001158.jpg,67,111,109,113,82,137,67,150,111,151
001176.jpg,67,112,110,112,88,136,72,151,105,150
001179.jpg,69,111,108,112,84,138,66,151,111,152
001180.jpg,71,112,107,110,82,136,73,153,102,153
001181.jpg,69,111,108,111,89,135,74,153,103,151
001183.jpg,70,111,107,110,90,135,72,153,104,153
001186.jpg,67,112,110,112,92,134,67,150,110,150
001191.jpg,69,112,108,111,90,137,71,152,105,151
001198.jpg,68,111,109,112,86,137,68,151,110,151
001200.jpg,69,112,108,111,82,138,72,152,105,152
001203.jpg,69,112,109,111,91,139,66,152,111,151
001211.jpg,69,111,108,112,87,131,72,151,105,152
001212.jpg,67,111,109,113,80,141,65,148,114,152
001214.jpg,68,111,108,113,85,139,71,152,107,150
001215.jpg,69,111,108,111,89,139,71,152,106,153
001226.jpg,69,111,108,111,82,130,70,152,107,152
001232.jpg,67,113,111,112,89,140,66,150,110,149
001234.jpg,68,112,109,112,90,141,69,152,107,151
001235.jpg,67,112,110,113,88,141,66,149,112,150
001236.jpg,68,112,109,112,90,136,68,150,109,151
001238.jpg,69,112,108,110,88,136,73,152,102,152
001239.jpg,69,112,109,111,90,136,70,152,106,151
001244.jpg,69,111,108,112,89,129,68,152,109,151
001249.jpg,70,112,108,110,93,137,73,153,102,151
001250.jpg,72,110,105,110,94,134,72,154,105,155
001251.jpg,69,111,108,111,85,139,71,151,105,152
001254.jpg,66,112,110,113,81,133,67,148,112,152
001267.jpg,70,112,108,110,78,136,73,152,103,153
001269.jpg,69,112,108,111,82,128,74,151,101,152
001271.jpg,68,112,109,112,87,133,67,150,110,151
001274.jpg,69,111,107,112,91,127,73,152,105,152
001277.jpg,70,111,107,111,83,136,71,152,106,152
001278.jpg,67,110,109,113,77,139,68,149,111,152
001282.jpg,68,112,109,112,85,136,70,150,107,151
001284.jpg,69,112,109,111,93,138,66,153,109,150
001285.jpg,69,111,108,112,88,125,74,152,103,151
001289.jpg,69,112,108,111,86,132,73,152,103,151
001293.jpg,67,113,110,112,88,137,65,150,111,150
001294.jpg,68,111,108,112,87,133,73,152,105,151
001296.jpg,66,111,110,114,87,141,69,149,110,150
001297.jpg,69,111,107,112,88,136,75,152,103,152
001301.jpg,70,112,108,110,87,133,65,152,111,152
001304.jpg,69,111,108,112,89,136,70,151,108,152
001311.jpg,68,112,109,112,92,134,72,151,105,151
001315.jpg,67,111,109,113,90,141,65,150,113,150
001317.jpg,70,110,107,111,90,133,76,153,101,153
001318.jpg,68,112,109,112,89,137,64,151,113,151
001319.jpg,68,111,108,112,87,136,68,151,109,152
001320.jpg,70,113,109,110,83,132,69,152,105,151
001323.jpg,68,112,109,112,90,134,68,151,109,151
001326.jpg,70,111,107,111,87,137,72,153,105,152
001327.jpg,71,110,106,111,96,133,74,154,103,153
001333.jpg,70,112,108,110,84,135,74,152,102,153
001334.jpg,71,111,106,110,89,138,74,154,103,153
001337.jpg,69,112,108,111,90,134,72,151,104,152
001341.jpg,70,111,107,111,96,137,72,153,105,153
001346.jpg,70,112,108,111,83,134,75,153,101,152
001347.jpg,66,112,111,113,90,141,67,149,111,150
001348.jpg,68,112,109,112,86,140,72,151,105,152
001353.jpg,70,112,108,110,92,138,72,153,104,152
001360.jpg,70,111,107,111,90,137,71,152,106,153
001361.jpg,68,111,108,112,85,137,67,150,110,152
001362.jpg,69,112,109,110,85,138,71,152,104,151
001365.jpg,69,111,108,111,92,140,72,153,105,151
001366.jpg,69,110,107,112,93,130,74,153,104,153
001367.jpg,69,113,109,111,83,132,66,152,109,150
001373.jpg,69,112,108,111,97,140,69,153,107,150
001375.jpg,68,112,109,111,87,136,71,151,105,152
001376.jpg,68,112,109,112,83,139,69,150,108,152
001377.jpg,70,112,107,110,85,130,73,153,102,152
001378.jpg,69,111,108,111,89,135,74,152,103,152
001387.jpg,70,111,107,111,87,135,72,153,105,152
001390.jpg,68,113,110,111,90,137,66,150,110,150
001392.jpg,70,112,108,111,77,136,67,151,109,153
001402.jpg,70,112,108,110,93,138,71,152,105,153
001404.jpg,70,112,108,111,87,137,73,153,103,151
001407.jpg,69,111,108,111,98,137,71,153,106,151
001409.jpg,68,111,108,112,85,135,68,150,110,153
001411.jpg,68,112,109,112,85,140,71,150,106,152
001412.jpg,69,110,107,112,81,136,74,152,104,153
001413.jpg,70,112,107,110,91,134,70,152,106,153
001416.jpg,68,112,109,111,91,137,71,152,105,150
001419.jpg,68,112,109,111,87,131,69,150,107,152
001421.jpg,70,111,107,111,89,129,73,153,104,152
001422.jpg,67,112,110,112,87,141,65,150,112,150
001424.jpg,69,110,107,112,86,140,72,153,107,152
001425.jpg,67,112,110,112,88,141,67,150,109,150
001427.jpg,70,111,107,110,90,137,69,153,107,153
001429.jpg,69,110,107,112,85,135,72,152,107,152
001433.jpg,69,112,108,111,94,134,69,151,107,152
001434.jpg,70,113,109,110,94,143,71,153,104,151
001437.jpg,69,111,108,111,95,133,72,152,105,151
001438.jpg,70,111,107,111,81,133,73,153,104,152
001440.jpg,69,110,107,112,95,134,71,153,107,152
001447.jpg,69,110,107,112,94,130,73,152,105,153
001448.jpg,69,112,108,111,89,135,72,151,104,153
001449.jpg,68,112,109,112,88,137,70,150,107,152
001452.jpg,69,111,108,111,89,131,72,152,104,152
001453.jpg,67,113,110,112,87,136,68,150,108,150
